安心	/ān xīn/	Yên tâm
事件	/shìjiàn/	Sự kiện, sự việc
事实	/shìshí/	Sự thật
事实上	/shìshíshang/	Trên thực tế, thật ra
事业	/shìyè/	Sự nghiệp
试题	/shìtí/	Đề thi, câu hỏi thi
试验	/shìyàn/	Thử nghiệm, thí nghiệm|Làm thí nghiệm
适合	/shìhé/	Phù hợp, hợp với
适应	/shìyìng/	Thích nghi, thích ứng
适用	/shìyòng/	Áp dụng, sử dụng, hữu dụng
室	/shì/	Phòng, căn phòng
收费	/shōufèi/	Thu phí, tính phí|Tiền phí, lệ phí
收看	/shōukàn/	Xem, theo dõi
收听	/shōutīng/	Nghe
收音机	/shōuyīnjī/	Máy thu thanh, radio
手续	/shǒuxù/	Thủ tục
手指	/shǒuzhǐ/	Ngón tay
首都	/shǒudū/	Thủ đô
首先	/shǒuxiān/	Đầu tiên, trước tiên
受	/shòu/	Nhận, chịu, bị
受伤	/shòushāng/	Bị thương, tổn thương
书架	/shūjià/	Giá sách, kệ sách
输	/shū/	Thua, thất bại
输入	/shūrù/	Nhập
熟人	/shúrén/	Người quen
属	/shǔ/	Thuộc, thuộc về, tuổi (con giáp)
属于	/shǔyú/	Thuộc về, là của
束	/shù/	Bó, chùm|Buộc, trói, bó lại|Dùng cho những vật kết thành bó
数量	/shùliàng/	Số lượng
双	/shuāng/	Một cặp, một đôi|Cặp, đôi|Đôi, gấp đôi
双方	/shuāngfāng/	Hai bên, đôi bên
思想	/sīxiǎng/	Tư tưởng, suy nghĩ, quan điểm
死	/sǐ/	Chết, qua đời
速度	/sùdù/	Tốc độ, nhịp độ
随	/suí/	Cùng với, theo|Đi theo, theo
所	/suǒ/	Nơi, chỗ|Căn, ngôi, nơi
所长	/suǒzhǎng/	Sở trưởng, viện trưởng
所长	/suǒcháng/	Sở trường, điểm mạnh
台	/tái/	Cái bục, cái đài, sân khấu|Cái, chiếc
谈	/tán/	Nói, thảo luận, bàn luận
谈话	/tánhuà/	Nói chuyện, trò chuyện|Cuộc nói chuyện, buổi trò chuyện
谈判	/tánpàn/	Đàm phán, thương lượng|Cuộc đàm phán
汤	/tāng/	Canh, súp
糖	/táng/	Kẹo, đường
特色	/tèsè/	Đặc sắc, nét đặc trưng
提前	/tíqián/	Làm sớm hơn|Trước, sớm hơn
提问	/tíwèn/	Hỏi, đưa ra câu hỏi
题目	/tímù/	Đề bài
体会	/tǐhuì/	Sự lĩnh hội, sự cảm nhận|Lĩnh hội, thấu hiểu, cảm nhận
体现	/tǐxiàn/	Thể hiện, biểu hiện
体验	/tǐyàn/	Trải nghiệm, kinh nghiệm
天空	/tiānkōng/	Bầu trời
甜	/tián/	Ngọt
调	/tiáo/	Điều chỉnh, sửa
调整	/tiáozhěng/	Điều chỉnh
跳	/tiào/	Nhảy
调高	/tiáogāo/	Nâng lên, tăng lên
跳舞	/tiàowǔ/	Khiêu vũ, nhảy
跳远	/tiàoyuǎn/	Nhảy xa
铁	/tiě/	Sắt
铁路	/tiělù/	Đường sắt
听力	/tīnglì/	Khả năng nghe
听众	/tīngzhòng/	Người nghe, thính giả
停止	/tíngzhǐ/	Đình chỉ, dừng, ngừng
通常	/tōngcháng/	Thông thườnh, bình thường
通信	/tōngxìn/	Liên lạc, thông tin
同意	/tóngyì/	Đồng ý, chấp nhận
痛	/tòng/	Đau
痛苦	/tòngkǔ/	Đau khổ
头	/tóu/	Cái đầu
头脑	/tóunǎo/	Đầu óc, tư duy
突出	/tūchū/	Làm nổi bật|Nổi bật, xuất sắc
突然	/tūrán/	Đột nhiên
图	/tú/	Tranh, ảnh
图画	/túhuà/	Tranh vẽ, bức họa
土	/tǔ/	Đất
团	/tuán/	Đoàn, nhóm|Chỉ vật có hình tròn, khối tròn
团结	/tuánjié/	Đoàn kết, gắn bó, hợp tác
团体	/tuántǐ/	Đoàn thể, tập thể, tổ chức
推动	/tuīdòng/	Thúc đẩy, xúc tiến
推广	/tuīguǎng/	Mở rộng, phổ biến, quảng bá
推进	/tuījìn/	Đẩy mạnh, thúc đẩy, tiến hành
推开	/tuīkāi/	Đẩy ra
退	/tuì/	Lùi, lui
退出	/tuìchū/	Rút lui, rời khỏi, thoát ra
退休	/tuìxiū/	Nghỉ hưu
外交	/wàijiāo/	Ngoại giao
外面	/wàimiàn/	Bên ngoài, bề ngoài
外文	/wàiwén/	Ngoại ngữ, tiếng nước ngoài
完美	/wánměi/	Hoàn mỹ, hoàn hảo
完善	/wánshàn/	Làm cho hoàn chỉnh, cải tiến|Hoàn thiện, đầy đủ, hoàn chỉnh
完整	/wánzhěng/	Nguyên vẹn, đầy đủ, trọn vẹn
玩具	/wánjù/	Đồ chơi
往往	/wăngwăng/	Thường thường, luôn luôn
危害	/wēihài/	Gây hại, tổn hại|Mối nguy hại, sự tổn hại
危险	/wēixiǎn/	Nguy hiểm|Mối nguy hiểm, sự nguy hiểm
为	/wéi/	Là, trở thành, làm|Vì, vì (một mục đích)
围	/wéi/	Vây quanh, bao vây
伟大	/wěidà/	Vĩ đại, lớn lao
卫生	/wèishēng/	Vệ sinh|Sạch sẽ, hợp vệ sinh
卫生间	/wèishēngjiān/	Nhà vệ sinh
为了	/wèile/	Để, vì (mục đích)
温暖	/wēnnuǎn/	Ấm áp|Sưởi ấm, làm cho ấm
文化	/wénhuà/	Văn hóa
文件	/wénjiàn/	Tài liệu, văn kiện
文明	/wénmíng/	Văn minh|Văn minh, lịch sự, có văn hóa
文学	/wénxué/	Văn học
文章	/wénzhāng/	Bài văn, bài viết
文字	/wénzì/	Chữ viết, văn tự
握手	/wòshou/	Bắt tay
屋子	/wūzi/	Căn nhà, căn phòng
武器	/wŭqì/	Vũ khí
武术	/wŭshù/	Võ thuật
舞台	/wŭtái/	Sân khấu
西部	/xībù/	Miền Tây, phía Tây
希望	/xīwàng/	Hy vọng, mong muốn|Hy vọng, niềm hy vọng
系	/xì/	Buộc, thắt
下来	/xiàlái/	Xuống (hướng từ xa đến gần)
下面	/xiàmiàn/	Bên dưới, phía dưới
下去	/xiàqù/	Xuống (hướng từ gần ra xa), tiếp tục
先进	/xiānjìn/	Tiên tiến, hiện đại|Người hoặc tập thể tiên tiến, gương mẫu
显得	/xiǎnde/	Dường như, có vẻ
显然	/xiǎnrán/	Hiển nhiên, rõ ràng
显示	/xiǎnshì/	Hiển thị, thể hiện, cho thấy
现场	/xiànchăng/	Hiện trường, tại chỗ
现代	/xiàndài/	Hiện đại, thời hiện đại|Hiện tại, tân tiến
现金	/xiànjīn/	Tiền mặt
现实	/xiànshí/	Hiện thực, thực tế|Thực tế, thực dụng
现象	/xiànxiàng/	Hiện tượng
线	/xiàn/	Sợi, dây, tuyến, đường
相比	/xiāngbǐ/	So với, so sánh
相当	/xiāngdāng/	Khá, tương đối|Tương đương, xứng đáng
相关	/xiāngguān/	Có liên quan, liên quan đến
相互	/xiānghù/	Lẫn nhau, qua lại
相似	/xiāngsì/	Tương tự, giống nhau
香	/xiāng/	Thơm, có mùi thơm
香蕉	/xiāngjiāo/	Chuối
消费	/xiāofèi/	Tiêu dùng, tiêu thụ
消失	/xiāoshī/	Biến mất, tan biến
消息	/xiāoxi/	Tin tức, thông tin
效果	/xiàoguǒ/	Hiệu quả, kết quả
写作	/xiězuò/	Viết văn, sáng tác
血	/xiě/	Máu
心	/xīn/	Tim, lòng, tâm trí
信	/xìn/	Tin, tin tưởng
信封	/xìnfēng/	Phong bì, bao thư
信任	/xìnrèn/	Tin tưởng, tín nhiệm
行李	/xíngli/	Hành lý
形成	/xíngchéng/	Hình thành, tạo thành
形式	/xíngshì/	Hình thức, kiểu cách
形象	/xíngxiàng/	Hình tượng, hình ảnh|Trực quan, dễ hình dung, sinh động
形状	/xíngzhuàng/	Hình dạng, hình thù
幸福	/xìngfú/	Hạnh phúc|Sự hạnh phúc, viên mãn
幸运	/xìngyùn/	May mắn, sự may mắn
性(积极性）	/xìng (jījíxìng)/	Tính (Bản chất, thuộc tính)
性别	/xìngbié/	Giới tính
性格	/xìnggé/	Tính cách
修	/xiū/	Sửa chữa, tu sửa
修改	/xiūgǎi/	Sửa đổi, chỉnh sửa
需求	/xūqiú/	Nhu cầu
需要	/xūyào/	Cần, cần phải|Nhu cầu, sự cần thiết
宣布	/xuānbù/	Tuyên bố, công bố
宣传	/xuānchuán/	Tuyên truyền, quảng bá|Sự tuyên truyền, hoạt động tuyên truyền
选手	/xuǎnshǒu/	Tuyển thủ, vận động viên
学费	/xuéfèi/	Học phí
训练	/xùnliàn/	Huấn luyện, đào tạo, rèn|Sự huấn luyện, khóa đào tạo
压	/yā/	Đè, nén, áp
压力	/yālì/	Áp lực, áp suất
烟	/yān/	Khói, thuốc lá
眼前	/yǎnqián/	Trước mắt, hiện tại, ngay lúc này
演	/yǎn/	Diễn (xuất), trình diễn
演唱	/yǎnchàng/	Hát (biểu diễn), trình bày
演唱会	/yǎnchànghuì/	Buổi hòa nhạc, concert (ca nhạc)
演出	/yǎnchū/	Biểu diễn, trình diễn|Buổi biểu diễn, tiết mục
演员	/yǎnyuán/	Diễn viên
羊	/yáng/	Dê, cừu
阳光	/yángguāng/	Ánh nắng, ánh mặt trời
要是	/yàoshì/	Nếu như, nếu mà
衣架	/yījià/	Móc treo quần áo, giá treo quần áo
一切	/yīqiè/	Tất cả, mọi thứ
已	/yǐ/	Đã, rồi
以来	/yǐlái/	Kể từ (một thời điểm nào đó)
一方面	/yīfāngmiàn/	Một mặt, một phương diện
艺术	/yìshù/	Nghệ thuật
意外	/yìwài/	Bất ngờ, ngoài ý muốn|Tai nạn, sự cố, việc ngoài ý muốn
意义	/yìyì/	Ý nghĩa
因此	/yīncǐ/	Do đó, vì vậy, cho nên
银	/yín/	Bạc (kim loại); màu bạc, tiền|Thuộc về bạc, có màu trắng bạc
银牌	yínpái	Huy chương bạc
印象	/yìnxiàng/	Ấn tượng
应当	/yīngdāng/	Nên, phải, cần phải
迎接	/yíngjiē/	Đón, nghênh đón, chào đón
营养	/yíngyǎng/	Dinh dưỡng, có dinh dưỡng
贏	/yíng/	Thắng, giành chiến thắng
影视	/yǐngshì/	Điện ảnh và truyền hình
应用	/yìngyòng/	Ứng dụng, vận dụng
优点	/yōudiǎn/	Ưu điểm, điểm tốt, điểm mạnh
优势	/yōushì/	Lợi thế, ưu thế
由	/yóu/	Do, bởi, từ
由于	/yóuyú/	Do, bởi vì
邮件	/yóujiàn/	Thư điện tử (Email)
邮票	/yóupiào/	Tem thư
邮箱	/yóuxiāng/	Hộp thư
游	/yóu/	Bơi, đi chơi, du lịch
游戏	/yóuxì/	Trò chơi|Chơi đùa, chơi trò chơi
游泳	/yóuyǒng/	Bơi lội
有的是	/yǒu de shì/	Có rất nhiều, có đủ
有利	/yǒulì/	Có lợi, có ích
有效	/yǒuxiào/	Có hiệu lực, hiệu quả
预报	/yùbào/	Dự báo|Bản tin dự báo, lời dự báo
预防	/yùfáng/	Phòng ngừa, đề phòng
预计	/yùjì/	Dự tính, dự kiến
预习	/yùxí/	Xem trước bài, chuẩn bị bài
员(服务员)	/yuán (fúwùyuán)/	Nhân viên (phục vụ)
员工	/yuángōng/	Nhân viên
愿望	/yuànwàng/	Nguyện vọng, ước muốn
约	/yuē/	Hẹn, ước hẹn
乐队	/yuèduì/	Ban nhạc
运输	/yùnshū/	Vận chuyển, chuyên chở|sự vận chuyển, việc vận tải
杂志	/zázhì/	Tạp chí
早已	/zǎoyǐ/	Đã sớm, từ lâu
造	/zào/	Chế tạo, xây dựng
造成	/zàochéng/	Gây ra, tạo thành
责任	/zérèn/	Trách nhiệm, phụ trách
增加	/zēngjiā/	Tăng lên, thêm vào
增长	/zēngzhǎng/	Tăng trưởng, sự tăng trưởng
展开	/zhǎnkāi/	Mở ra, triển khai
张	/zhāng/	Tờ, tấm (dùng cho các vật phẳng)
照	/zhào/	Chiếu sáng, chụp (ảnh)|Dựa theo, căn cứ vào|Ảnh chụp, giấy tờ, giấy phép
者(志愿者)	/zhě (zhìyuànzhě)/	Người (Tình nguyện viên)
真实	/zhēnshí/	Chân thật, có thật, thật lòng
争	/zhēng/	Tranh giành, tranh cãi
争取	/zhēngqǔ/	Tranh thủ, cố gắng đạt được
整	/zhěng/	Trọn, cả, toàn bộ
整个	/zhěnggè/	Toàn bộ, tất cả
整理	/zhěnglǐ/	Sắp xếp, thu dọn, dọn dẹp
整齐	/zhěngqí/	Gọn gàng, ngăn nắp
整体	/zhěngtǐ/	Toàn thể, tổng thể
整天	/zhěngtiān/	Cả ngày, suốt cả ngày
整整	/zhěngzhěng/	Trọn, đúng, tròn
正(形)	/zhèng/	Chính, thẳng, đúng
正式	/zhèngshì/	Chính thức
证	/zhèng/	Chứng nhận, chứng minh|Chứng cứ, giấy chứng
证件	/zhèngjiàn/	Giấy tờ tùy thân, chứng từ
证据	zhèngjù/	Chứng cứ
证明	/zhèngmíng/	Chứng minh|Giấy chứng nhận, chứng minh thư
支(量)	/zhī/	Cây, cái (dùng cho vật dài, que)
支持	/zhīchí/	Ủng hộ, hỗ trợ
支付	/zhīfù/	Chi trả, thanh toán
只	/zhǐ/	Chỉ, vẻn vẹn
直	/zhí/	Thẳng, trực tiếp
直播	/zhíbō/	Phát sóng trực tiếp, livestream
直到	/zhídào/	Cho đến, mãi cho đến
值	/zhí/	Đáng giá, có giá trị
值得	/zhídé/	Đáng, xứng đáng
职工	/zhígōng/	Công nhân và nhân viên
职业	/zhíyè/	Nghề nghiệp
只好	/zhǐhǎo/	Đành phải, chỉ còn cách
只是	/zhǐshì/	Chỉ là, chẳng qua là|Nhưng mà, chỉ có điều
只有	/zhǐyǒu/	Chỉ khi|Chỉ có, duy nhất
指	/zhǐ/	Chỉ (ngón tay), chỉ vào
指出	/zhǐchū/	Chỉ ra
指导	/zhǐdǎo/	Sự hướng dẫn, sự chỉ đạo|Hướng dẫn, chỉ đạo
至今	/zhìjīn/	Cho đến nay, đến tận bây giờ
至少	/zhìshǎo/	Ít nhất, tối thiểu
志愿	/zhìyuàn/	Nguyện vọng, ước muốn|Tự nguyện
志愿者	/zhìyuànzhě/	Tình nguyện viên
制定	/zhìdìng/	Đề ra, ban hành
制度	/zhìdù/	Chế độ, quy định
制造	/zhìzào/	Chế tạo, sản xuất
制作	/zhìzuò/	Chế tác, làm ra, sản xuất
中部	/zhōngbù/	Trung bộ, phần giữa
中华民族	/zhōnghuá mínzú/	Dân tộc Trung Hoa
终于	/zhōngyú/	Cuối cùng, rốt cuộc
钟	/zhōng/	Đồng hồ; giờ
种	/zhǒng/	Loại, chủng loại
种子	/zhǒngzi/	Hạt giống
重大	/zhòngdà/	Trọng đại, to lớn, quan trọng
周围	/zhōuwéi/	Xung quanh, chu vi
猪	/zhū/	Lợn, heo
主持	/zhǔchí/	Chủ trì, dẫn chương trình
主动	/zhǔdòng/	Chủ động
主任	/zhǔrèn/	Chủ nhiệm, trưởng phòng
主意	/zhǔyi/	Chủ kiến, ý kiến
主张	/zhǔzhāng/	Chủ trương, đề xướng|Quan điểm, đề xuất
注意	/zhùyì/	Chú ý, để ý, lưu tâm
祝	/zhù/	Chúc (chúc mừng, cầu chúc)
抓	/zhuā/	Bắt, tóm, nắm
抓住	/zhuāzhù/	Nắm lấy, tóm được, nắm bắt
专家	/zhuānjiā/	Chuyên gia
专门	/zhuānmén/	Chuyên môn, đặc biệt
专题	/zhuāntí/	Chuyên đề, chủ đề chuyên sâu
专业	/zhuānyè/	Chuyên ngành, ngành học|Chuyên môn, trình độ
转	/zhuǎn/	Chuyển, quay, xoay
转变	/zhuǎnbiàn/	Chuyển biến, thay đổi
状况	/zhuàng kuàng/	Tình trạng, trạng thái
状态	/zhuàngtài/	Trạng thái
追	/zhuī/	Đuổi, theo đuổi
准	/zhǔn/	Chuẩn, chính xác, đúng|Chắc chắn, nhất định, đảm bảo|Cho phép, đồng ý, chấp thuận
资格	/zīgé/	Tư cách, bằng cấp, điều kiện
资金	/zījīn/	Vốn, tiền vốn, quỹ
子女	/zǐnǚ/	Con cái (con trai và con gái)
自从	/zìcóng/	Kể từ, từ khi
自动	/zìdòng/	Tự giác, tự nguyện|Có khả năng tự động
自觉	/zìjué/	Tự giác|Tự ý thức, tự nhận thức
自然	/zìrán/	Tự nhiên, thiên nhiên|Tự nhiên|Lẽ đương nhiên
自身	/zìshēn/	Bản thân, chính mình
自主	/zìzhǔ/	Tự chủ, độc lập
总	/zǒng/	Tập hợp, tổng hợp|Tổng, người đứng đầu|Luôn luôn, lúc nào cũng
总结	/zǒngjié/	Kết luận, đúc kết|Tổng kết
总是	/zǒngshì/	Luôn luôn, lúc nào cũng
足够	/zúgòu/	Đủ đầy, thỏa mãn|Đủ
足球	/zúqiú/	Bóng đá
组合	/zǔhé/	Tổ hợp, kết hợp|Lắp ráp
左右	/zuǒyòu/	Xung quanh, khoảng|Chi phối, điều khiển
作品	/zuòpǐn/	Tác phẩm
作者	/zuòzhě/	Tác giả
做客	/zuòkè/	Làm khách, đến thăm
		
